indice_tiempo,idempresa,cuit,empresa,direccion,localidad,provincia,region,idproducto,producto,idtipohorario,tipohorario,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud,geojson,%_variacion,fecha_chequeo,price_usd
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1658,2026-01-13 06:06:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.12,2026-01-13,1.13
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2026-01-14 06:11:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.12,2026-01-14,1.14
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1663,2026-01-23 06:09:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.18,2026-01-23,1.16
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1660,2026-01-25 06:25:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.18,2026-01-25,1.16
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1659,2026-01-28 06:37:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.06,2026-01-28,1.15
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1658,2026-01-30 06:33:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.06,2026-01-30,1.15
2026-01,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1659,2026-01-31 07:02:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.06,2026-01-31,1.15
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1657,2026-02-01 06:32:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.12,2026-02-01,1.14
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1656,2026-02-03 06:10:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.06,2026-02-03,1.14
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1663,2026-02-05 06:35:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.42,2026-02-05,1.15
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1668,2026-02-07 11:01:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.3,2026-02-07,1.17
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1668,2026-02-07 11:01:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.0,2026-02-14,1.20
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1668,2026-02-07 11:01:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.0,2026-02-15,1.20
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1699,2026-02-16 07:11:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",1.86,2026-02-16,1.2176
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1699,2026-02-16 07:11:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.0,2026-02-17,1.2176
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1698,2026-02-18 06:14:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",-0.06,2026-02-18,1.2168
2026-02,10667,30-71485936-2,UNITECPROCOM SA,AV EVA PERON 7501,FLORENCIO VARELA,BUENOS AIRES,,2,Nafta (súper) entre 92 y 95 Ron,2,Diurno,1709,2026-02-19 08:29:00,2,YPF,-34.85086,-58.27908,"{""type"":""Point"",""coordinates"":[-58.27908,-34.85086]}",0.65,2026-02-19,1.2191
