fecha,valor,indice
1984-07-31,18.3,9096478680.3851
1984-08-31,22.8,11170475819.5129
1984-09-30,27.5,14242356669.879
1984-10-31,19.3,16991131507.1657
1984-11-30,15.0,19539801233.2405
1984-12-31,19.7,23389142076.1889
1985-01-31,25.1,29259816737.3123
1985-02-28,20.7,35316598801.9359
1985-03-31,26.5,44675497484.449
1985-04-30,29.5,57854769242.3614
1985-05-31,25.1,72376316322.1941
1985-06-30,30.5,94451092800.4633
1985-07-31,6.2,100307060554.0921
1985-08-31,3.1,103416579431.2689
1985-09-30,2.0,105484911019.8943
1985-10-31,1.9,107489124329.2723
1985-11-30,2.4,110068863313.1748
1985-12-31,3.2,113591066939.1964
1986-01-31,3.0,116998798947.3723
1986-02-28,1.7,118987778529.4776
1986-03-31,4.6,124461216341.8336
1986-04-30,4.7,130310893509.8997
1986-05-31,4.0,135523329250.2957
1986-06-30,4.5,141621879066.559
1986-07-31,6.8,151252166843.0851
1986-08-31,8.8,164562357525.2766
1986-09-30,7.2,176410847267.0965
1986-10-31,6.1,187171908950.3893
1986-11-30,5.3,197092020124.76
1986-12-31,4.7,206355345070.6237
1987-01-31,7.6,222038351295.9911
1987-02-28,6.5,236470844130.2305
1987-03-31,8.3,256097924193.0396
1987-04-30,3.3,264549155691.4099
1987-05-31,4.2,275660220230.4492
1987-06-30,8.0,297713037848.8851
1987-07-31,10.1,327782054671.6225
1987-08-31,13.7,372688196161.6348
1987-09-30,11.7,416292715112.546
1987-10-31,19.6,497886087274.605
1987-11-30,10.3,549168354263.8893
1987-12-31,3.4,567840078308.8616
1988-01-31,9.1,619513525434.968
1988-02-29,10.4,683942932080.2047
1988-03-31,14.8,785166486028.0751
1988-04-30,17.2,920215121624.9039
1988-05-31,15.7,1064688895720.0139
1988-06-30,18.0,1256332896949.6165
1988-07-31,25.6,1577954118568.7183
1988-08-31,27.6,2013469455293.6846
1988-09-30,11.7,2249045381563.0454
1988-10-31,9.0,2451459465903.7197
1988-11-30,5.7,2591192655460.2314
1988-12-31,6.8,2767393756031.5273
1989-01-31,8.9,3013691800318.333
1989-02-28,9.6,3303006213148.893
1989-03-31,17.0,3864517269384.2046
1989-04-30,33.4,5155266037358.529
1989-05-31,78.5,9202149876684.975
1989-06-30,114.5,19738611485489.27
1989-07-31,196.6,58544721665961.18
1989-08-31,37.9,80733171177360.47
1989-09-30,9.4,88322089268032.36
1989-10-31,5.6,93268126267042.17
1989-11-30,6.5,99330554474399.9
1989-12-31,40.1,139162106818634.27
1990-01-31,79.2,249378495418992.6
1990-02-28,61.6,402995648597092.06
1990-03-31,95.5,787856493007315.0
1990-04-30,11.4,877672133210149.0
1990-05-31,13.6,997035543326729.4
1990-06-30,13.9,1135623483849144.8
1990-07-31,10.8,1258270820104852.5
1990-08-31,15.3,1450786255580895.0
1990-09-30,15.7,1678559697707095.5
1990-10-31,7.7,1807808794430541.8
1990-11-30,6.2,1919892939685235.5
1990-12-31,4.7,2010127907850441.5
1991-01-31,7.7,2164907756754925.5
1991-02-28,27.0,2749432851078755.5
1991-03-31,11.0,3051870464697419.0
1991-04-30,5.5,3219723340255777.0
1991-05-31,2.8,3309875593782939.0
1991-06-30,3.1,3412481737190210.0
1991-07-31,2.6,3501206262357155.5
1991-08-31,1.3,3546721943767798.0
1991-09-30,1.8,3610562938755618.5
1991-10-31,1.4,3661110819898197.0
1991-11-30,0.4,3675755263177790.0
1991-12-31,0.6,3697809794756857.0
1992-01-31,3.0,3808744088599563.0
1992-02-29,2.2,3892536458548753.5
1992-03-31,2.1,3974279724178277.0
1992-04-30,1.3,4025945360592594.0
1992-05-31,0.7,4054126978116741.5
1992-06-30,0.8,4086559993941675.5
1992-07-31,1.7,4156031513838683.5
1992-08-31,1.5,4218371986546263.5
1992-09-30,1.0,4260555706411726.0
1992-10-31,1.3,4315942930595078.0
1992-11-30,0.5,4337522645248053.0
1992-12-31,0.3,4350535213183796.5
1993-01-31,0.8,4385339494889267.0
1993-02-28,0.7,4416036871353491.5
1993-03-31,0.8,4451365166324319.5
1993-04-30,1.0,4495878817987562.5
1993-05-31,1.3,4554325242621400.0
1993-06-30,0.7,4586205519319749.0
1993-07-31,0.3,4599964135877708.0
1993-08-31,0.0,4599964135877708.0
1993-09-30,0.8,4636763848964730.0
1993-10-31,0.6,4664584432058518.0
1993-11-30,0.1,4669249016490576.0
1993-12-31,0.0,4669249016490576.0
1994-01-31,0.1,4673918265507066.0
1994-02-28,0.0,4673918265507066.0
1994-03-31,0.1,4678592183772573.0
1994-04-30,0.2,4687949368140118.0
1994-05-31,0.3,4702013216244538.0
1994-06-30,0.4,4720821269109516.0
1994-07-31,0.9,4763308660531501.0
1994-08-31,0.2,4772835277852564.0
1994-09-30,0.7,4806245124797531.0
1994-10-31,0.3,4820663860171923.0
1994-11-30,0.2,4830305187892267.0
1994-12-31,0.2,4839965798268052.0
1995-01-31,1.2,4898045387847269.0
1995-02-28,0.0,4898045387847269.0
1995-03-31,-0.4,4878453206295880.0
1995-04-30,0.5,4902845472327359.0
1995-05-31,0.0,4902845472327359.0
1995-06-30,-0.2,4893039781382704.0
1995-07-31,0.4,4912611940508235.0
1995-08-31,-0.2,4902786716627219.0
1995-09-30,0.2,4912592290060473.0
1995-10-31,0.3,4927330066930654.0
1995-11-30,-0.2,4917475406796793.0
1995-12-31,0.1,4922392882203589.0
1996-01-31,0.3,4937160060850199.0
1996-02-29,-0.3,4922348580667648.0
1996-03-31,-0.5,4897736837764310.0
1996-04-30,0.0,4897736837764310.0
1996-05-31,-0.1,4892839100926546.0
1996-06-30,0.0,4892839100926546.0
1996-07-31,0.5,4917303296431178.0
1996-08-31,-0.1,4912385993134747.0
1996-09-30,0.2,4922210765121017.0
1996-10-31,0.5,4946821818946622.0
1996-11-30,-0.2,4936928175308729.0
1996-12-31,-0.3,4922117390782803.0
1997-01-31,0.5,4946727977736716.0
1997-02-28,0.4,4966514889647663.0
1997-03-31,-0.5,4941682315199425.0
1997-04-30,-0.3,4926857268253827.0
1997-05-31,-0.1,4921930410985573.0
1997-06-30,0.2,4931774271807544.0
1997-07-31,0.2,4941637820351159.0
1997-08-31,0.2,4951521095991861.0
1997-09-30,0.0,4951521095991861.0
1997-10-31,-0.2,4941618053799877.0
1997-11-30,-0.2,4931734817692277.0
1997-12-31,0.2,4941598287327662.0
1998-01-31,0.6,4971247877051628.0
1998-02-28,0.3,4986161620682782.0
1998-03-31,-0.1,4981175459062099.0
1998-04-30,0.0,4981175459062099.0
1998-05-31,-0.1,4976194283603037.0
1998-06-30,0.2,4986146672170243.0
1998-07-31,0.3,5001105112186753.0
1998-08-31,0.0,5001105112186753.0
1998-09-30,0.0,5001105112186753.0
1998-10-31,-0.4,4981100691738006.0
1998-11-30,-0.2,4971138490354530.0
1998-12-31,0.0,4971138490354530.0
1999-01-31,0.5,4995994182806302.0
1999-02-28,-0.2,4986002194440689.0
1999-03-31,-0.8,4946114176885163.0
1999-04-30,-0.1,4941168062708278.0
1999-05-31,-0.5,4916462222394737.0
1999-06-30,0.0,4916462222394737.0
1999-07-31,0.2,4926295146839526.0
1999-08-31,-0.4,4906589966252168.0
1999-09-30,-0.2,4896776786319664.0
1999-10-31,0.0,4896776786319664.0
1999-11-30,-0.3,4882086455960705.0
1999-12-31,-0.1,4877204369504744.0
2000-01-31,0.8,4916222004460782.0
2000-02-29,0.0,4916222004460782.0
2000-03-31,-0.5,4891640894438478.0
2000-04-30,-0.1,4886749253544040.0
2000-05-31,-0.4,4867202256529864.0
2000-06-30,-0.2,4857467852016804.0
2000-07-31,0.4,4876897723424871.0
2000-08-31,-0.2,4867143927978021.0
2000-09-30,-0.2,4857409640122065.0
2000-10-31,0.2,4867124459402309.0
2000-11-30,-0.5,4842788837105297.0
2000-12-31,-0.1,4837946048268192.0
2001-01-31,0.1,4842783994316460.0
2001-02-28,-0.2,4833098426327827.0
2001-03-31,0.2,4842764623180483.0
2001-04-30,0.7,4876663975542746.0
2001-05-31,0.1,4881540639518288.0
2001-06-30,-0.7,4847369855041660.0
2001-07-31,-0.3,4832827745476535.0
2001-08-31,-0.4,4813496434494629.0
2001-09-30,-0.1,4808682938060134.0
2001-10-31,-0.4,4789448206307893.0
2001-11-30,-0.3,4775079861688969.0
2001-12-31,-0.1,4770304781827280.0
2002-01-31,2.3,4880021791809307.0
2002-02-28,3.1,5031302467355395.0
2002-03-31,4.0,5232554566049611.0
2002-04-30,10.4,5776740240918771.0
2002-05-31,4.0,6007809850555522.0
2002-06-30,3.6,6224091005175521.0
2002-07-31,3.2,6423261917341138.0
2002-08-31,2.3,6570996941439984.0
2002-09-30,1.4,6662990898620144.0
2002-10-31,0.2,6676316880417384.0
2002-11-30,0.5,6709698464819470.0
2002-12-31,0.2,6723117861749109.0
2003-01-31,1.3,6810518393951847.0
2003-02-28,0.6,6851381504315558.0
2003-03-31,0.6,6892489793341451.0
2003-04-30,0.1,6899382283134792.0
2003-05-31,-0.4,6871784754002253.0
2003-06-30,-0.1,6864912969248251.0
2003-07-31,0.4,6892372621125244.0
2003-08-31,0.0,6892372621125244.0
2003-09-30,0.0,6892372621125244.0
2003-10-31,0.6,6933726856851996.0
2003-11-30,0.2,6947594310565700.0
2003-12-31,0.2,6961489499186831.0
2004-01-31,0.4,6989335457183578.0
2004-02-29,0.1,6996324792640761.0
2004-03-31,0.6,7038302741396606.0
2004-04-30,0.9,7101647466069175.0
2004-05-31,0.7,7151358998331658.0
2004-06-30,0.6,7194267152321648.0
2004-07-31,0.5,7230238488083255.0
2004-08-31,0.3,7251929203547504.0
2004-09-30,0.6,7295440778768789.0
2004-10-31,0.4,7324622541883864.0
2004-11-30,0.0,7324622541883864.0
2004-12-31,0.8,7383219522218935.0
2005-01-31,1.5,7493967815052218.0
2005-02-28,0.9,7561413525387687.0
2005-03-31,1.5,7674834728268502.0
2005-04-30,0.5,7713208901909844.0
2005-05-31,0.6,7759488155321303.0
2005-06-30,0.9,7829323548719194.0
2005-07-31,1.0,7907616784206386.0
2005-08-31,0.4,7939247251343212.0
2005-09-30,1.2,8034518218359331.0
2005-10-31,0.8,8098794364106206.0
2005-11-30,1.2,8195979896475481.0
2005-12-31,1.1,8286135675336710.0
2006-01-31,1.3,8393855439116086.0
2006-02-28,0.4,8427430860872550.0
2006-03-31,1.2,8528560031203021.0
2006-04-30,1.0,8613845631515051.0
2006-05-31,0.5,8656914859672625.0
2006-06-30,0.5,8700199433970987.0
2006-07-31,0.6,8752400630574813.0
2006-08-31,0.6,8804915034358262.0
2006-09-30,0.9,8884159269667485.0
2006-10-31,0.9,8964116703094491.0
2006-11-30,0.7,9026865520016152.0
2006-12-31,1.0,9117134175216314.0
2007-01-31,1.1,9217422651143692.0
2007-02-28,0.3,9245074919097122.0
2007-03-31,0.8,9319035518449900.0
2007-04-30,0.7,9384268767079048.0
2007-05-31,0.4,9421805842147364.0
2007-06-30,0.4,9459493065515954.0
2007-07-31,0.5,9506790530843532.0
2007-08-31,0.6,9563831274028594.0
2007-09-30,0.8,9640341924220822.0
2007-10-31,0.7,9707824317690366.0
